TT_LOT_NO,SCHEDULE,DUE_HOUR,RECIPENAME,PROD_TIME,
LOT_L,LOT_L0005,120,REC0005,8.5,
LOT_L,LOT_L0010,120,REC0005,8.5,
LOT_LA,LOT_LA0001,48,REC0022,12.55,
LOT_LD,LOT_LD0001,48,REC0022,12.25,
LOT_LF,LOT_LF0001,48,REC0022,12.55,
LOT_LH,LOT_LH0001,48,REC0019,15,
LOT_LM,LOT_LM0001,48,REC0019,14.75,
LOT_LO,LOT_LO0001,48,REC0019,14.7,
LOT_LQ,LOT_LQ0001,48,REC0019,14.7,
LOT_LR,LOT_LR0001,48,REC0019,15.8,
LOT_LT,LOT_LT0001,48,REC0019,15.85,
LOT_LV,LOT_LV0001,48,REC0019,15.35,
LOT_LW,LOT_LW0001,24,REC0021,8.6,
LOT_LY,LOT_LY0001,24,REC0021,8.75,
LOT_LZ,LOT_LZ0001,24,REC0021,8.25,
LOT_M,LOT_M0001,168,REC0006,8,
LOT_M,LOT_M0003,168,REC0006,8,
LOT_M,LOT_M0005,168,REC0006,8,
LOT_M,LOT_M0010,168,REC0006,8,
LOT_M,LOT_M0015,168,REC0006,8,
LOT_M,LOT_M0016,168,REC0006,8,
LOT_M,LOT_M0018,168,REC0006,8,
LOT_M,LOT_M0020,168,REC0006,8,
LOT_M,LOT_M0028,168,REC0006,8,
LOT_M,LOT_M0032,168,REC0006,8,
LOT_M,LOT_M0034,168,REC0006,8,
LOT_M,LOT_M0037,168,REC0006,8,
LOT_M,LOT_M0047,168,REC0006,8,
LOT_M,LOT_M0049,168,REC0006,8,
LOT_M,LOT_M0050,168,REC0006,8,
LOT_M,LOT_M0053,168,REC0006,8,
LOT_M,LOT_M0057,168,REC0006,8,
LOT_M,LOT_M0058,168,REC0006,8,
LOT_M,LOT_M0061,168,REC0006,8,
LOT_M,LOT_M0064,168,REC0006,8,
LOT_M,LOT_M0072,168,REC0006,8,
LOT_MC,LOT_MC0001,24,REC0021,8.45,
LOT_MD,LOT_MD0001,24,REC0021,8.15,
LOT_ME,LOT_ME0001,24,REC0021,8.45,
LOT_MJ,LOT_MJ0001,24,REC0021,8.6,
LOT_MK,LOT_MK0001,24,REC0021,8.4,
LOT_MM,LOT_MM0001,24,REC0021,8.75,
LOT_MO,LOT_MO0001,24,REC0021,8.1,
LOT_MR,LOT_MR0001,24,REC0021,8.35,
LOT_MV,LOT_MV0001,24,REC0021,8.7,
LOT_MW,LOT_MW0001,24,REC0021,8.6,
LOT_MX,LOT_MX0001,24,REC0021,8.25,
LOT_N,LOT_N0002,144,REC0006,8.5,
LOT_N,LOT_N0007,144,REC0006,8.5,
LOT_N,LOT_N0011,144,REC0006,8.5,
LOT_N,LOT_N0012,144,REC0006,8.5,
LOT_N,LOT_N0013,144,REC0006,8.5,
LOT_N,LOT_N0021,144,REC0006,8.5,
LOT_N,LOT_N0026,144,REC0006,8.5,
LOT_N,LOT_N0027,144,REC0006,8.5,
LOT_N,LOT_N0030,144,REC0006,8.5,
LOT_N,LOT_N0033,144,REC0006,8.5,
LOT_N,LOT_N0038,144,REC0006,8.5,
LOT_N,LOT_N0046,144,REC0006,8.5,
LOT_N,LOT_N0051,144,REC0006,8.5,
LOT_N,LOT_N0053,144,REC0006,8.5,
LOT_N,LOT_N0056,144,REC0006,8.5,
LOT_N,LOT_N0057,144,REC0006,8.5,
LOT_N,LOT_N0061,144,REC0006,8.5,
LOT_N,LOT_N0064,144,REC0006,8.5,
LOT_N,LOT_N0065,144,REC0006,8.5,
LOT_N,LOT_N0067,144,REC0006,8.5,
LOT_N,LOT_N0071,144,REC0006,8.5,
LOT_N,LOT_N0073,144,REC0006,8.5,
LOT_N,LOT_N0074,144,REC0006,8.5,
LOT_N,LOT_N0076,144,REC0006,8.5,
LOT_NA,LOT_NA0001,24,REC0021,8.15,
LOT_O,LOT_O0003,120,REC0006,10.2,
LOT_O,LOT_O0004,120,REC0006,10.2,
LOT_O,LOT_O0005,120,REC0006,10.2,
LOT_O,LOT_O0017,120,REC0006,10.2,
LOT_O,LOT_O0023,120,REC0006,10.2,
LOT_O,LOT_O0024,120,REC0006,10.2,
LOT_O,LOT_O0025,120,REC0006,10.2,
LOT_O,LOT_O0030,120,REC0006,10.2,
LOT_O,LOT_O0032,120,REC0006,10,
LOT_O,LOT_O0035,120,REC0006,10,
LOT_O,LOT_O0040,120,REC0006,10,
LOT_O,LOT_O0047,120,REC0006,10,
LOT_O,LOT_O0052,120,REC0006,10,
LOT_P,LOT_P0002,72,REC0007,6.25,
LOT_P,LOT_P0009,72,REC0007,6.25,
LOT_P,LOT_P0011,72,REC0007,6.25,
LOT_P,LOT_P0015,72,REC0007,6.25,
LOT_P,LOT_P0020,72,REC0007,6.25,
LOT_P,LOT_P0026,72,REC0007,6.25,
LOT_P,LOT_P0033,72,REC0007,6.25,
LOT_P,LOT_P0037,72,REC0007,6.25,
LOT_P,LOT_P0039,72,REC0007,6.65,
LOT_P,LOT_P0044,72,REC0007,6.65,
LOT_P,LOT_P0045,72,REC0007,6.65,
LOT_P,LOT_P0052,72,REC0007,6.65,
LOT_P,LOT_P0054,72,REC0007,6.65,
LOT_P,LOT_P0056,72,REC0007,6.65,
LOT_P,LOT_P0058,72,REC0007,6.65,
LOT_P,LOT_P0060,72,REC0007,6.65,
LOT_P,LOT_P0061,72,REC0007,6.65,
LOT_P,LOT_P0062,72,REC0007,6.65,
LOT_P,LOT_P0063,72,REC0007,6.65,
LOT_P,LOT_P0064,72,REC0007,6.65,
LOT_P,LOT_P0065,72,REC0007,6.65,
LOT_P,LOT_P0067,72,REC0007,6.65,
LOT_P,LOT_P0070,72,REC0007,6.65,
LOT_Q,LOT_Q0006,72,REC0007,6.2,
LOT_Q,LOT_Q0011,72,REC0007,6.2,
LOT_Q,LOT_Q0019,72,REC0007,6.2,
LOT_Q,LOT_Q0032,72,REC0007,6.2,
LOT_Q,LOT_Q0033,72,REC0007,6.2,
LOT_Q,LOT_Q0037,72,REC0007,6.2,
LOT_Q,LOT_Q0039,72,REC0007,6.2,
LOT_Q,LOT_Q0049,72,REC0007,6.2,
LOT_Q,LOT_Q0050,72,REC0007,6.2,
LOT_Q,LOT_Q0055,72,REC0007,6.2,
LOT_Q,LOT_Q0056,72,REC0007,6.2,
LOT_Q,LOT_Q0058,72,REC0007,6.2,
LOT_Q,LOT_Q0059,72,REC0007,6.2,
LOT_Q,LOT_Q0063,72,REC0007,6.2,
LOT_Q,LOT_Q0065,72,REC0007,6.2,
LOT_R,LOT_R0001,48,REC0009,16.8,
LOT_S,LOT_S0006,72,REC0007,6.9,
LOT_S,LOT_S0009,72,REC0007,6.9,
LOT_S,LOT_S0010,72,REC0007,6.9,
LOT_S,LOT_S0013,72,REC0007,6.9,
LOT_S,LOT_S0017,72,REC0007,6.9,
LOT_S,LOT_S0019,72,REC0007,6.9,
LOT_S,LOT_S0021,72,REC0007,6.9,
LOT_S,LOT_S0023,72,REC0007,6.9,
LOT_S,LOT_S0031,72,REC0007,6.9,
LOT_S,LOT_S0038,72,REC0007,6.9,
LOT_S,LOT_S0042,72,REC0007,6.9,
LOT_S,LOT_S0044,72,REC0007,6.9,
LOT_S,LOT_S0047,72,REC0007,6.9,
LOT_S,LOT_S0048,72,REC0007,6.9,
LOT_S,LOT_S0049,72,REC0007,6.9,
LOT_S,LOT_S0050,72,REC0007,6.9,
LOT_S,LOT_S0055,72,REC0007,6.9,
LOT_S,LOT_S0056,72,REC0007,6.9,
LOT_S,LOT_S0058,72,REC0007,6.9,
LOT_S,LOT_S0059,72,REC0007,6.9,
LOT_T,LOT_T0005,24,REC0007,10.25,
LOT_T,LOT_T0009,24,REC0007,10.25,
LOT_T,LOT_T0010,24,REC0007,10.25,
LOT_U,LOT_U0001,72,REC0007,6.6,
LOT_U,LOT_U0003,72,REC0007,6.6,
LOT_U,LOT_U0005,72,REC0007,6.6,
LOT_U,LOT_U0006,72,REC0007,6.6,
LOT_U,LOT_U0011,72,REC0007,6.6,
LOT_U,LOT_U0014,72,REC0007,6.6,
LOT_U,LOT_U0019,72,REC0007,6.6,
LOT_U,LOT_U0022,72,REC0007,6.6,
LOT_U,LOT_U0026,72,REC0007,6.6,
LOT_U,LOT_U0028,72,REC0007,6.6,
LOT_V,LOT_V0001,96,REC0008,8,
LOT_V,LOT_V0005,96,REC0008,8,
LOT_V,LOT_V0006,96,REC0008,8,
LOT_V,LOT_V0007,96,REC0008,8,
LOT_V,LOT_V0010,96,REC0008,8,
LOT_V,LOT_V0013,96,REC0008,8,
LOT_V,LOT_V0014,96,REC0008,8,
LOT_V,LOT_V0016,96,REC0008,8,
